rank;name;headquarter;category;description;link;year;plz;kanton;lan;lon
25;Advanon AG ;ZÃ¼rich;Fintech;Disrupting the invoicing market;https://www.top100startups.swiss/Advanon;2016;8002;ZH;8.532739248;47.36007156
26;Teralytics AG;ZÃ¼rich;ICT;Turning complex data into valuable information;https://www.top100startups.swiss/Teralytics;2016;8002;ZH;8.532739248;47.36007156
27;Leman Micro Devices SA;Lausanne;Engineering;Medically accurate health sensing for all mobile devices;https://www.top100startups.swiss/Leman;2016;1011;VD;6.643319582;46.52555634
28;ecoRobotix SA;Yverdon-les-Bains;Engineering;Innovative solutions for sustainable agriculture;https://www.top100startups.swiss/ecoRobotix;2016;1400;VD;6.638517507;46.77623872
29;SWISSto12 SA;Renens;Engineering;Disruptive antenna systems for the telecoms industry.;https://www.top100startups.swiss/SWISSto12;2016;1020;VD;6.589670167;46.53527951
30;Nanolive SA;Ecublens;Medtech;Revolutionary tomographic microscope;https://www.top100startups.swiss/Nanolive;2016;1024;VD;6.55861492;46.52883079
31;Beekeeper AG;ZÃ¼rich;ICT;Empowering entire workforces;https://www.top100startups.swiss/Beekeeper;2016;8002;ZH;8.532739248;47.36007156
32;CodeCheck AG;ZÃ¼rich;ICT;Shopping assistant for a conscious lifestyle;https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7520;2016;8002;ZH;8.532739248;47.36007156
33;FEMTOprint SA;Muzzano;Medtech;3D printing for glass microdevices;https://www.top100startups.swiss/FEMTOprint;2016;6933;TI;8.91697308;45.99713152
34;Memo Therapeutics AG;Basel;Biotech;Description;https://www.top100startups.swiss/Memo;2016;4051;BS;7.586450708;47.55404534
35;Wingtra AG;ZÃ¼rich;Robotics;Fly like an airplane, take-off and land like a helicopter;https://www.top100startups.swiss/Wingtra;2016;8002;ZH;8.532739248;47.36007156
36;Versantis AG;ZÃ¼rich;Biotech;Conquer liver diseases and saves lives;https://www.top100startups.swiss/Versantis;2016;8002;ZH;8.532739248;47.36007156
37;rqmicro AG;Schlieren;Biotech;Ultra-rapid detection of pathogenic microorganisms;https://www.top100startups.swiss/rqmicro;2016;8952;ZH;8.449001596;47.39503416
38;Chimpy AG;ZÃ¼rich;Cleantech;Convenient recharging on the go;https://www.top100startups.swiss/Chimpy;2016;8002;ZH;8.532739248;47.36007156
39;Distalmotion SA;Epalinges;Medtech;Making Sense of Robotic Surgery;https://www.top100startups.swiss/DistalMotion;2016;1066;VD;6.668508946;46.55070386
40;Nomoko AG;Zurich;ICT;Creating a digital twin of the world;https://www.top100startups.swiss/Nomoko;2016;8001;ZH;8.541734555;47.37208749
41;CleanGreens Solutions SA;Molondin;Foodtech;Innovative farming solutions;https://www.top100startups.swiss/CleanGreens;2016;1415;VD;6.747802463;46.76309741
42;Fastree3D SA;Ecublens;Engineering;The worldâ€™s fastest, safest, programmable imaging chip;https://www.top100startups.swiss/Fastree3D;2016;1024;VD;6.55861492;46.52883079
43;Equippo AG;Zug;ICT;Next-generation, full-service marketplace for equipment;https://www.top100startups.swiss/Equippo;2016;6300;ZG;8.503484562;47.16850232
44;Intento SA ;Lausanne;Medtech;Wearable solutions for the rehabilitation of paralyzed stroke patients;https://www.top100startups.swiss/Intento;2016;1011;VD;6.643319582;46.52555634
45;depsys SA;Puidoux;Cleantech;Energy network optimization platform;https://www.top100startups.swiss/depsys;2016;1070;VD;6.777869536;46.49445901
46;Proton SA;Plan-les-Ouates;Security;Secure e-mail;https://www.top100startups.swiss/Proton;2016;1228;GE;6.118033239;46.16415897
47;Contovista AG ;Schlieren;Fintech;Data driven banking;https://www.top100startups.swiss/Contovista;2016;8952;ZH;8.449001596;47.39503416
48;Inositec AG;Zurich;Biotech;Developing small molecules to address unmet medical needs;https://www.top100startups.swiss/Inositec;2016;8001;ZH;8.541734555;47.37208749
49;Securosys SA;ZÃ¼rich;Security;Secure communication technologies and systems for commercial applications;https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=8824;2016;8002;ZH;8.532739248;47.36007156
50;xorlab AG;ZÃ¼rich;Security;Redefining enterprise communication security;https://www.top100startups.swiss/xorlab;2016;8002;ZH;8.532739248;47.36007156
51;PharmaBiome AG;ZÃ¼rich;Biotech;Next Generation Microbiome Therapies;https://www.top100startups.swiss/PharmaBiome;2016;8002;ZH;8.532739248;47.36007156
52;DomoHealth;Lausanne;ICT;End-to-end SaaS solution to monitor patientâ€™s health at home;https://www.top100startups.swiss/DomoHealth;2016;1011;VD;6.643319582;46.52555634
53;NEEO AG ;Solothurn;Engineering;Smart Home. Simple.;https://www.top100startups.swiss/NEEO;2016;4500;SO;7.529454067;47.20622852
54;Geosatis SA;Le Noirmont;Engineering;GPS ankle bracelet;https://www.top100startups.swiss/Geosatis;2016;2340;JU;6.943804949;47.21522387
55;Gondola Medical Technologies SA;Epalinges;Medtech;Treatment for motor symptoms of neurodegenerative diseases;https://www.top100startups.swiss/Gondola;2016;1066;VD;6.668508946;46.55070386
56;TwentyGreen AG;Luzern;Biotech;Next-Generation Probiotic 10x better protection;https://www.top100startups.swiss/TwentyGreen;2016;6005;LU;8.313449981;47.03821966
57;Peripal AG;ZÃ¼rich;Medtech;Patient connection device for home dialysis;https://www.top100startups.swiss/Peripal;2016;8002;ZH;8.532739248;47.36007156
58;Topadur Pharma AG;Schlieren;Biotech;Disruptive drugs for aging diseases;https://www.top100startups.swiss/Topadur;2016;8952;ZH;8.449001596;47.39503416
59;Insightness AG ;ZÃ¼rich;Engineering;Novel camera chips for interactive devices;https://www.top100startups.swiss/Insightness;2016;8002;ZH;8.532739248;47.36007156
60;Nezasa AG;ZÃ¼rich;ICT;Technology solutions for the travel trade;https://www.top100startups.swiss/Nezasa;2016;8002;ZH;8.532739248;47.36007156
61;Medyria AG;Winterthur;Medtech;Advanced and intuitive methods for the visualization and con;https://www.top100startups.swiss/Medyria;2016;8405;ZH;8.776009743;47.47804737
62;ActLight SA;Ecublens;Engineering;Developing high performance photodetectors for mobile applications;https://www.top100startups.swiss/ActLight;2016;1024;VD;6.55861492;46.52883079
63;UrbanFarmers AG;ZÃ¼rich;Cleantech;Urban farms in acant urban areas to provide organic, healthy and local food to its communities;https://www.top100startups.swiss/UrbanFarmers;2016;8002;ZH;8.532739248;47.36007156
64;Prodibi SA;Plan-Les-Ouates;ICT;High-quality, powerful and easy way to showcase images beautifully;https://www.top100startups.swiss/Prodibi;2016;1228;GE;6.118033239;46.16415897
65;CALCISCON AG;Nidau;Biotech;Products for Calcification Medicine;https://www.top100startups.swiss/CALCISCON;2016;2560;BE;7.240899267;47.1243639
66;AKSELOS SA;Lausanne;ICT;Simulation technology to protect critical structures;https://www.top100startups.swiss/AKSELOS;2016;1011;VD;6.643319582;46.52555634
67;AEROTAIN AG;ZÃ¼rich;Robotics;We leverage live events with interactive and engaging flying experiences.;https://www.top100startups.swiss/AEROTAIN;2016;8002;ZH;8.532739248;47.36007156
68;Inofea AG;Muttenz;Biotech;Empowered therapeutic enzymes;https://www.top100startups.swiss/Inofea;2016;4132;BL;7.648057403;47.52338801
69;ScanTrust SA;Lausanne;ICT;Protection from counterfeiting;https://www.top100startups.swiss/ScanTrust;2016;1011;VD;6.643319582;46.52555634
70;I believe in you AG;Bern;ICT;World's leading crowdfunding platform in sports;https://www.top100startups.swiss/IBIY;2016;3004;BE;7.450025042;46.97530372
71;Goodwall SA;GenÃ¨ve;ICT;A professional development network for young talent;https://www.top100startups.swiss/Goodwall;2016;1201;GE;6.146916502;46.21074039
72;flatev AG;ZÃ¼rich;Foodtech;Reinventing the Future of Snacks at the tip of a button;https://www.top100startups.swiss/flatev;2016;8002;ZH;8.532739248;47.36007156
73;ZuriMED Technologies AG;Zurich;Medtech;An Innovation Engine In Sports Medicine;https://www.top100startups.swiss/ZuriMED;2016;8001;ZH;8.541734555;47.37208749
74;Cellestia Biotech AG;Basel;Biotech;Developing First-in-Class therapies for cancer and AIIDs.;https://www.top100startups.swiss/Cellestia;2016;4051;BS;7.586450708;47.55404534
75;imperix SA;Sion;Cleantech;Advanced power conversion solutions;https://www.top100startups.swiss/imperix;2016;1950;VS;7.354727167;46.22725387
76;Faveeo;GenÃ¨ve;ICT;The first Trusted Content Platform : filtering the most reliable, meaningful content to help brands  drive online engagement at scale.;https://www.top100startups.swiss/Faveeo;2016;1201;GE;6.146916502;46.21074039
77;N-Dream AG (AirConsole);ZÃ¼rich;ICT;Browser-based gaming platform;https://www.top100startups.swiss/N-Dream;2016;8002;ZH;8.532739248;47.36007156
78;Crispr Therapeutics AG;Basel;Biotech;Developing cures for serious human genetic diseases;https://www.top100startups.swiss/Crispr;2016;4051;BS;7.586450708;47.55404534
79;MiniNaviDent AG;Basel;Medtech;3D navigation system for dental implantology;https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=5376;2016;4051;BS;7.586450708;47.55404534
80;CashSentinel SA;Lausanne;Fintech;Payment services provider for marketplaces;https://www.top100startups.swiss/CashSentinel;2016;1011;VD;6.643319582;46.52555634
81;strong.codes SA (acquired by Snap Inc.);Yverdon-les-Bains;ICT;Protecting software against reverse-engineering;https://www.top100startups.swiss/strongcodes;2016;1400;VD;6.638517507;46.77623872
82;recapp IT AG;Visp;ICT;Spracherkennung in allen Schweizer Sprachen und Dialekten;https://www.top100startups.swiss/recapp;2016;3930;VS;7.866951252;46.29120902
83;noonee AG;Hedingen;Medtech;Wearable technology, which enables factory workers to sit down during work â€“ without a chair;https://www.top100startups.swiss/nooneeAG;2016;8908;ZH;8.450946256;47.30147861
84;Fashwell AG ;ZÃ¼rich;ICT;AI image recognition software;https://www.top100startups.swiss/Fashwell;2016;8002;ZH;8.532739248;47.36007156
85;Allthings Technologies AG;Basel;Proptech;Allthings: For a better life in buildings;https://www.top100startups.swiss/Allthings;2016;4051;BS;7.586450708;47.55404534
86;Sherpany AG;ZÃ¼rich;ICT;Productive leadership meetings;https://www.top100startups.swiss/Sherpany;2016;8002;ZH;8.532739248;47.36007156
87;Younergy Solar SA;Lausanne;Cleantech;The distributed utility: helping our customers harvest their own energy.;https://www.top100startups.swiss/Younergy;2016;1011;VD;6.643319582;46.52555634
88;DigitArena SA;Martigny;ICT;Sports arena digital media advertising;https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7580;2016;1920;VS;7.074542101;46.1094551
89;ShoeSize.Me AG;Olten;ICT;Boost your footwear sales with innovative, guided-selling AI;https://www.top100startups.swiss/ShoeSizeMe;2016;4600;SO;7.900867376;47.34583557
90;Scope Content AG;ZÃ¼rich;ICT;The new generation of news aggregator a unique semantic text analysis engine;https://www.top100startups.swiss/scope;2016;8002;ZH;8.532739248;47.36007156
91;ParkU AG;ZÃ¼rich;ICT;ParkU - The Parking App;https://www.top100startups.swiss/ParkUAG;2016;8002;ZH;8.532739248;47.36007156
92;eSMART Technologies SA;Ecublens;Proptech;Complete smart buildings management system;https://www.top100startups.swiss/eSMART;2016;1024;VD;6.55861492;46.52883079
93;AKENES SA (Exoscale);Lausanne;ICT;Safe and affordable infrastructure as a service;https://www.top100startups.swiss/Exoscale;2016;1011;VD;6.643319582;46.52555634
94;Kandou Bus SA;Lausanne;Engineering;Low power consumption chip connections;https://www.top100startups.swiss/Kandou;2016;1011;VD;6.643319582;46.52555634
95;CellSpring AG;ZÃ¼rich;Biotech;Developing diagnostic tests to catch early-stage cancer;https://www.top100startups.swiss/CellSpring;2016;8002;ZH;8.532739248;47.36007156
96;Karmagenes SA;Monthey;Biotech;Karmagenes integrates genetics with psychology for personal development;https://www.top100startups.swiss/Karmagenes;2016;1870;VS;6.897152414;46.23882604
97;RAW Labs SA;Lausanne;ICT;Empowering enterprises to use their resources wisely;https://www.top100startups.swiss/RAW;2016;1011;VD;6.643319582;46.52555634
98;TestingTime AG;ZÃ¼rich;ICT;We recruit test users for user and market research;https://www.top100startups.swiss/TestingTime;2016;8002;ZH;8.532739248;47.36007156
99;PB&B SA;Lausanne;Medtech;Facial & Body Remodeling Technology for Aesthetic Doctors;https://www.top100startups.swiss/PB_B;2016;1011;VD;6.643319582;46.52555634
100;Designergy SA;Chur;Cleantech;Building construction material that implements both solar energy exploitation and energy saving functions;https://www.top100startups.swiss/Designergy;2016;7000;GR;9.529881575;46.85280484
1;L.E.S.S. SA;Renens;Cleantech;Nano active fiber lighting systems;https://www.top100startups.swiss/LESS;2015;1020;VD;6.589670167;46.53527951
2;Abionic SA;Epalinges;Medtech;The revolutionary in vitro diagnostic point-of-care platform;https://www.top100startups.swiss/Abionic;2015;1066;VD;6.668508946;46.55070386
3;Flyability SA;Paudex;Robotics;Drone-based inspection solutions;https://www.top100startups.swiss/Flyability;2015;1094;VD;6.671544899;46.48280522
4;Bcomp AG;Fribourg;Cleantech;Superior products from natural fibers;https://www.top100startups.swiss/Bcomp;2015;1700;FR;7.163625853;46.80665808
5;Sophia Genetics SA;Lausanne;Biotech;Democratizing Data-Driven Medicine;https://www.top100startups.swiss/Sophia;2015;1011;VD;6.643319582;46.52555634
6;Knip AG ;Zurich;Fintech;Online insurance management;https://www.top100startups.swiss/Knip;2015;8001;ZH;8.541734555;47.37208749
7;TrekkSoft AG;Interlaken;ICT;SaaS solution for tour and activity companies;https://www.top100startups.swiss/TrekkSoft;2015;3800;BE;7.865961168;46.68673793
8;QualySense AG;Glattbrugg;Engineering;Sorting robot for grains, seeds and beans;https://www.top100startups.swiss/QualySense;2015;8152;ZH;8.562910786;47.43319518
9;Glycemicon AG;Brugg;Biotech;Managing blood glucose levels;https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7498;2015;5200;AG;8.211196526;47.48639705
10;Lunaphore Technologies SA;Tolochenaz;Medtech;Tumor analysis platform;https://www.top100startups.swiss/Lunaphore;2015;1131;VD;6.492087528;46.48490786
11;PIQUR Therapeutics AG;Basel;Biotech;Developing and commercializing personalized cancer medicines;https://www.top100startups.swiss/PIQUR;2015;4051;BS;7.586450708;47.55404534
12;ProteoMediX AG;Schlieren;Biotech;Markers for prostate cancer;https://www.top100startups.swiss/ProteoMediX;2015;8952;ZH;8.449001596;47.39503416
13;faceshift AG (acquired by Apple);Cupertino, California;ICT;Technology for facial expression recognition to enact virtual characters in real-time.;https://www.top100startups.swiss/faceshift;2015;#NV;#NV;#NV;#NV
14;Teralytics AG;ZÃ¼rich;ICT;Turning complex data into valuable information;https://www.top100startups.swiss/Teralytics;2015;8002;ZH;8.532739248;47.36007156
15;CodeCheck AG;ZÃ¼rich;ICT;Shopping assistant for a conscious lifestyle;https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7520;2015;8002;ZH;8.532739248;47.36007156
16;ScanTrust SA;Lausanne;ICT;Protection from counterfeiting;https://www.top100startups.swiss/ScanTrust;2015;1011;VD;6.643319582;46.52555634
17;ActLight SA;Ecublens;Engineering;Developing high performance photodetectors for mobile applications;https://www.top100startups.swiss/ActLight;2015;1024;VD;6.55861492;46.52883079
18;Leman Micro Devices SA;Lausanne;Engineering;Medically accurate health sensing for all mobile devices;https://www.top100startups.swiss/Leman;2015;1011;VD;6.643319582;46.52555634
19;RealLook AG (Selfnation);ZÃ¼rich;ICT;Perfectly fitting trousers;https://www.top100startups.swiss/selfnation;2015;8002;ZH;8.532739248;47.36007156
20;Gamaya SA;Morges;Robotics;Digital agronomy solutions for large farming businesses;https://www.top100startups.swiss/Gamaya;2015;1110;VD;6.505456761;46.49496333
21;bexio AG  ;Rapperswil SG;Fintech;Business software for SMEs;https://www.top100startups.swiss/Bexio;2015;8640;SG;8.818843765;47.22502045
22;Distalmotion SA;Epalinges;Medtech;Making Sense of Robotic Surgery;https://www.top100startups.swiss/DistalMotion;2015;1066;VD;6.668508946;46.55070386
23;On AG;Zollikon;Engineering;Introducing zero-gravity running;https://www.top100startups.swiss/On;2015;8702;ZH;8.578324118;47.33995141
24;MindMaze SA;Lausanne;Medtech;Bringing real emotion to virtual reality;https://www.top100startups.swiss/MindMaze;2015;1011;VD;6.643319582;46.52555634
25;Fastree3D SA;Ecublens;Engineering;The worldâ€™s fastest, safest, programmable imaging chip;https://www.top100startups.swiss/Fastree3D;2015;1024;VD;6.55861492;46.52883079
26;Uepaa AG;ZÃ¼rich;ICT;The industry-leading Safety and Proximity Expert;https://www.top100startups.swiss/Uepaa;2015;8002;ZH;8.532739248;47.36007156
27;Farmy AG;ZÃ¼rich;Foodtech;The online shop for regional and biological farming goods;https://www.top100startups.swiss/Farmy;2015;8002;ZH;8.532739248;47.36007156
28;Anokion SA;Ecublens;Biotech;Promoting IMMUNE TOLERANCE, ameliorating disease;https://www.top100startups.swiss/Anokion;2015;1024;VD;6.55861492;46.52883079
29;Bestmile SA;Lausanne;ICT;Fleet automation platform;https://www.top100startups.swiss/Bestmile;2015;1011;VD;6.643319582;46.52555634
30;Mila AG ;Zurich;ICT;Marketplace for local and trusted services;https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=5346;2015;8001;ZH;8.541734555;47.37208749
31;MOVU AG ;ZÃ¼rich;ICT;Finding the best moving and cleaning provider online;https://www.top100startups.swiss/MOVU;2015;8002;ZH;8.532739248;47.36007156
32;CleanGreens Solutions SA;Molondin;Foodtech;Innovative farming solutions;https://www.top100startups.swiss/CleanGreens;2015;1415;VD;6.747802463;46.76309741
33;Sherpany AG;ZÃ¼rich;ICT;Productive leadership meetings;https://www.top100startups.swiss/Sherpany;2015;8002;ZH;8.532739248;47.36007156
34;Amal Therapeutics SA ;GenÃ¨ve;Biotech;Cancer vaccines;https://www.top100startups.swiss/Amal;2015;1201;GE;6.146916502;46.21074039
35;3BaysOver;Lausanne;ICT;The Professional Network for Travel.;https://www.top100startups.swiss/3BaysOver;2015;1011;VD;6.643319582;46.52555634
36;HYT SA;Neuchatel;Engineering;The hydro mechanical horlogists;https://www.top100startups.swiss/HYT;2015;2000;NE;6.941331265;46.98844504
37;Crispr Therapeutics AG;Basel;Biotech;Developing cures for serious human genetic diseases;https://www.top100startups.swiss/Crispr;2015;4051;BS;7.586450708;47.55404534
38;VIU VENTURES AG;ZÃ¼rich;ICT;Challenging the established rules in the eyewear industry;https://www.top100startups.swiss/VIUVentures;2015;8002;ZH;8.532739248;47.36007156
39;Polyneuron Pharmaceuticals AG;Basel;Biotech;New drug class for the treatment of autoimmune diseases;https://www.top100startups.swiss/Polyneuron;2015;4051;BS;7.586450708;47.55404534
40;Bluetector AG;Root;Cleantech;Manure Treatment;https://www.top100startups.swiss/Bluetector;2015;6037;LU;8.392787919;47.1113473
41;CALCISCON AG;Nidau;Biotech;Products for Calcification Medicine;https://www.top100startups.swiss/CALCISCON;2015;2560;BE;7.240899267;47.1243639
42;Scope Content AG;ZÃ¼rich;ICT;The new generation of news aggregator a unique semantic text analysis engine;https://www.top100startups.swiss/scope;2015;8002;ZH;8.532739248;47.36007156
43;Nezasa AG;ZÃ¼rich;ICT;Technology solutions for the travel trade;https://www.top100startups.swiss/Nezasa;2015;8002;ZH;8.532739248;47.36007156
44;SwissLitho AG (acquired by Heidelberg Instruments);ZÃ¼rich;Engineering;A novel technology for nanofabrication;https://www.top100startups.swiss/SwissLitho;2015;8002;ZH;8.532739248;47.36007156
45;Proton SA;Plan-les-Ouates;Security;Secure e-mail;https://www.top100startups.swiss/Proton;2015;1228;GE;6.118033239;46.16415897
46;Kandou Bus SA;Lausanne;Engineering;Low power consumption chip connections;https://www.top100startups.swiss/Kandou;2015;1011;VD;6.643319582;46.52555634
47;Malcisbo AG;Schlieren;Biotech;Platform to identify carbohydrate targets in pathogenic organisms;https://www.top100startups.swiss/Malcisbo;2015;8952;ZH;8.449001596;47.39503416
48;1Drop Diagnostics SÃ rl;Neuchatel;Medtech;Saving lives through better and faster portable medical diagnostics;https://www.top100startups.swiss/1Drop;2015;2000;NE;6.941331265;46.98844504
49;Starmind International AG;Küsnacht;ICT;Making it easy to find the best expert within a company to solve a problem;https://www.top100startups.swiss/Starmind;2015;8700;ZH;8.589331924;47.32009913
50;OrbiWise SA;Plan-Les-Ouates;ICT;Full solutions for the internet of things;https://www.top100startups.swiss/OrbiWise;2015;1228;GE;6.118033239;46.16415897
51;Nanolive SA;Ecublens;Medtech;Revolutionary tomographic microscope;https://www.top100startups.swiss/Nanolive;2015;1024;VD;6.55861492;46.52883079
52;MiniNaviDent AG;Basel;Medtech;3D navigation system for dental implantology;https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=5376;2015;4051;BS;7.586450708;47.55404534
53;CashSentinel SA;Lausanne;Fintech;Payment services provider for marketplaces;https://www.top100startups.swiss/CashSentinel;2015;1011;VD;6.643319582;46.52555634
54;Lightbend SÃ rl (Typesafe);Lausanne;ICT;Scala programming language;https://www.top100startups.swiss/Lightbend;2015;1011;VD;6.643319582;46.52555634
55;Advanced Osteotomy Tools - AOT AG;Basel;Medtech;Cutting bones with laser;https://www.top100startups.swiss/AOT;2015;4051;BS;7.586450708;47.55404534
56;Scrona AG;Adliswil;Engineering;Printing at the nanoscale;https://www.top100startups.swiss/scrona;2015;8134;ZH;8.521283352;47.30931393
57;Diviac AG ;Zurich;ICT;Diviac is the Booking.com of scuba diving.;https://www.top100startups.swiss/Diviac;2015;8001;ZH;8.541734555;47.37208749
58;Koring AG;Basel;Medtech;Novel, implantable ring to prevent parastomal hernia in abdominal surgery.;https://www.top100startups.swiss/Koring;2015;4051;BS;7.586450708;47.55404534
59;Aeon Scientific AG;Schlieren;Medtech;Electromagnetic guidance of medical instruments in the human body;https://www.top100startups.swiss/Aeon;2015;8952;ZH;8.449001596;47.39503416
60;Biowatch;Lausanne;Engineering;A wearable biometric technology as an alternative solution to current authentication methods;https://www.top100startups.swiss/Biowatch;2015;1011;VD;6.643319582;46.52555634
61;noonee AG;Hedingen;Medtech;Wearable technology, which enables factory workers to sit down during work â€“ without a chair;https://www.top100startups.swiss/nooneeAG;2015;8908;ZH;8.450946256;47.30147861
62;AKSELOS SA;Lausanne;ICT;Simulation technology to protect critical structures;https://www.top100startups.swiss/AKSELOS;2015;1011;VD;6.643319582;46.52555634
63;Pix4D SA (acquired by Parrot);Lausanne;ICT;Automatically combine images from mobile cameras and create 2D and 3D models;https://www.top100startups.swiss/Pix4D;2015;1011;VD;6.643319582;46.52555634
64;Geosatis SA;Le Noirmont;Engineering;GPS ankle bracelet;https://www.top100startups.swiss/Geosatis;2015;2340;JU;6.943804949;47.21522387
65;FEMTOprint SA;Muzzano;Medtech;3D printing for glass microdevices;https://www.top100startups.swiss/FEMTOprint;2015;6933;TI;8.91697308;45.99713152
66;Recommerce AG;Rotkreuz;ICT;Buys, repairs and resells mobile phones, tablets and iPods;https://www.top100startups.swiss/recommerce;2015;6343;ZG;8.451044791;47.14458018
67;UrbanFarmers AG;ZÃ¼rich;Cleantech;Urban farms in acant urban areas to provide organic, healthy and local food to its communities;https://www.top100startups.swiss/UrbanFarmers;2015;8002;ZH;8.532739248;47.36007156
68;flatev AG;ZÃ¼rich;Foodtech;Reinventing the Future of Snacks at the tip of a button;https://www.top100startups.swiss/flatev;2015;8002;ZH;8.532739248;47.36007156
69;Ampard AG ;ZÃ¼rich;Cleantech;Control- and asset-management system to realize complex decentralized storage solutions;https://www.top100startups.swiss/Ampard;2015;8002;ZH;8.532739248;47.36007156
70;TestingTime AG;ZÃ¼rich;ICT;We recruit test users for user and market research;https://www.top100startups.swiss/TestingTime;2015;8002;ZH;8.532739248;47.36007156
71;Versantis AG;ZÃ¼rich;Biotech;Conquer liver diseases and saves lives;https://www.top100startups.swiss/Versantis;2015;8002;ZH;8.532739248;47.36007156
72;Equippo AG;Zug;ICT;Next-generation, full-service marketplace for equipment;https://www.top100startups.swiss/Equippo;2015;6300;ZG;8.503484562;47.16850232
73;Contovista AG ;Schlieren;Fintech;Data driven banking;https://www.top100startups.swiss/Contovista;2015;8952;ZH;8.449001596;47.39503416
74;rqmicro AG;Schlieren;Biotech;Ultra-rapid detection of pathogenic microorganisms;https://www.top100startups.swiss/rqmicro;2015;8952;ZH;8.449001596;47.39503416
75;I believe in you AG;Bern;ICT;World's leading crowdfunding platform in sports;https://www.top100startups.swiss/IBIY;2015;3004;BE;7.450025042;46.97530372
76;ParkU AG;ZÃ¼rich;ICT;ParkU - The Parking App;https://www.top100startups.swiss/ParkUAG;2015;8002;ZH;8.532739248;47.36007156
77;NEEO AG ;Solothurn;Engineering;Smart Home. Simple.;https://www.top100startups.swiss/NEEO;2015;4500;SO;7.529454067;47.20622852
78;InvestGlass SA;Geneva;Fintech;The best way to invest;https://www.top100startups.swiss/InvestGlass;2015;1208;GE;6.167579743;46.19844394
79;Archilogic AG;ZÃ¼rich;Proptech;Understanding environments;https://www.top100startups.swiss/Archilogic;2015;8002;ZH;8.532739248;47.36007156
80;depsys SA;Puidoux;Cleantech;Energy network optimization platform;https://www.top100startups.swiss/depsys;2015;1070;VD;6.777869536;46.49445901
81;DAHU Sports Company Ltd.;Fribourg;Engineering;Innovative ski boots / a game changer for the whole industry;https://www.top100startups.swiss/DAHU;2015;1700;FR;7.163625853;46.80665808
82;SWISSto12 SA;Renens;Engineering;Disruptive antenna systems for the telecoms industry.;https://www.top100startups.swiss/SWISSto12;2015;1020;VD;6.589670167;46.53527951
83;recapp IT AG;Visp;ICT;Spracherkennung in allen Schweizer Sprachen und Dialekten;https://www.top100startups.swiss/recapp;2015;3930;VS;7.866951252;46.29120902
84;Xsensio SA ;Lausanne;Medtech;Lab-on-Skin(TM) sensing platform;https://www.top100startups.swiss/Xsensio;2015;1011;VD;6.643319582;46.52555634
85;everyglobe AG;ZÃ¼rich;ICT;Contemporary Online Travel Company.;https://www.top100startups.swiss/everyglobe;2015;8002;ZH;8.532739248;47.36007156
86;SamanTree Medical SA;Lausanne;Medtech;Solution helping surgeons to check complete tumor removal;https://www.top100startups.swiss/SamanTree;2015;1011;VD;6.643319582;46.52555634
87;Memo Therapeutics AG;Basel;Biotech;Description;https://www.top100startups.swiss/Memo;2015;4051;BS;7.586450708;47.55404534
88;AgriCircle AG;Rapperswil SG;Foodtech;Digital agronomy for regenerative carbon farming;https://www.top100startups.swiss/AgriCircle;2015;8640;SG;8.818843765;47.22502045
89;Designergy SA;Chur;Cleantech;Building construction material that implements both solar energy exploitation and energy saving functions;https://www.top100startups.swiss/Designergy;2015;7000;GR;9.529881575;46.85280484
90;Dealmarket AG ;St. Gallen;Fintech;The global private equity platform;https://www.top100startups.swiss/DealMarket;2015;9012;SG;9.363594618;47.40957391
91;Coatmaster AG;Winterthur;Engineering;Measuring industrial coatings;https://www.top100startups.swiss/Coatmaster;2015;8405;ZH;8.776009743;47.47804737
92;THELKIN GmbH;Winterthur;Medtech;Characterization of orthopaedic implants and other medical devices;https://www.top100startups.swiss/THELKIN;2015;8405;ZH;8.776009743;47.47804737
93;ONWARD Medical SA;Lausanne;Biotech;Enabling nervous system rewiring;https://www.top100startups.swiss/Onward;2015;1011;VD;6.643319582;46.52555634
94;Ava AG;ZÃ¼rich;Medtech;Ovulation tracking bracelet;https://www.top100startups.swiss/Ava;2015;8002;ZH;8.532739248;47.36007156
