,name,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,category_18,category_19,category_20,category_21,incorporated,long description,company_website,link
291,Uepaa AG,ICT,Digital Health,Mobile,SaaS,Services for companies,Tackle COVID-19,Software,,,,,,,,,,,,,,,February 2012,"Its first product - the Uepaa® Safety App - launched in 2013, successfully showcased this technologys leadership position. This award-winning product evolved into todays industry standard for smartphone-based loneworker safety protection for thousands of employees and field forces - working at risk or alone. www.safety.uepaa.ch  The second product - the Proximity SDK  - launched in 2015, is powering Millions of users proximity applications worldwide (incl. XING or the Austrian ""STOPP CORONA"" contact tracing app). www.p2pkit.io  Uepaa AG, founded in January 2012 by Mathias Haussmann and Dr Franck Legendre, is a Swiss ETH spin-off, headquartered in Zürich.",http://www.uepaa.ch,https://www.top100startups.swiss/Uepaa
292,Vigilitech AG,Biotech,Big Data,Biotech,Cloud,Electronics,Hightech,Medical devices,Mobile,Sensors,Research and development,Wireless,Software,Surgery,,,,,,,,,October 2016,"Monitor the animal's vital functions effortlessly, non-invasively, record data wirelessly with your phone or tablet and upload it to Vigilitech's cloud service for analysis and storage. Vigilitech pursues the vision of a new embedded hard- and software product with improved performance and flexibility that allows easy to use animal monitoring.",http://www.vigilitech.ch,https://www.top100startups.swiss/Vigilitech
293,SensArs Neuroprosthetics Sàrl,Medtech,Micro technologies,Medical devices,Medtech,,,,,,,,,,,,,,,,,,June 2014,"Unlike presently available pain stimulators, which are uncomfortable and impair daily life activities, SensArs’s stimulator elicits natural touch and movement sensations. Unlike other products, we access nerve fibers and physiologically activate them. Our therapy is automatically activated by sensors added to the painful body part, enabling daily life activities. Our preliminary results showed safety and effectiveness (i.e. 50+% pain reduction) on 5/5 patients and 20+ rats. Our results are published in Nature and Science.",http://www.sensars.com,https://www.top100startups.swiss/SensArs
294,Privately SA,ICT,Cloud,Consumer,Internet,Mobile,SaaS,Security,Social networks,Software,,,,,,,,,,,,,December 2013,"Privately’s “right-to-be-forgotten” solutions keep user’s content private, secure and removable on social networks. Combining end-user encryption applications (B2C), API and a service-provider platform (B2B), Privately provides an end-to-end solution for protecting users’ private content shared digitally.",https://privately.eu/,https://www.top100startups.swiss/Privately
295,DillySocks AG,ICT,Consumer,,,,,,,,,,,,,,,,,,,,December 2013,"Swiss design, produced in portugal. A more colourful daily existence – that was the idea that three friends from Zurich had, which led them to found the colourful sock label DillySocks in 2013 and turn the world of feet on its head. The idea came about during a short trip they took together in 2012. Inspired by their colourful impressions from that journey, they developed a vision of making the world’s daily accessories more colourful. Those bright, colourful ideas remain an important component of the product to this day. We have pursued this idea from the beginning, and are continually creating off-beat adornments for the feet. The unique patterns of our items, inspired by the colours and shapes of everyday life, are designed and planned in Switzerland – stylish and fashionable, but colourful and cheeky. Each pair represents a step towards a more colourful world!",http://dillysocks.com,https://www.top100startups.swiss/DillySocks
296,imperix SA,Cleantech,Energy production,Electronics,Renewable energy,"Smart Power, Green Grid",,,,,,,,,,,,,,,,,November 2013,"Imperix develops high-end control equipment and prototyping hardware for power electronics, drives, smart grids, and related topics. Its products are designed to enable cutting-edge innovation in corporate and academic environments. They are especially valued for their ability to accelerate the implementation of laboratory-scale power converters and facilitate the derivation of high-quality experimental results.The company also offers services intended to assist its customers, from facilitating their prototyping activities to supporting the integration of our technologies in their products.As such, imperix's offering ranges from the delivery of plug-and-play hardware and software, to that of fully customized systems involving specialized control hardware and software algorithms.",http://www.imperix.ch,https://www.top100startups.swiss/imperix
297,Pryv SA,ICT,Big Data,Digital Health,Hightech,Healthcare infrastructure,IoT,Sensors,Medtech,Security,Patient monitoring,Software,,,,,,,,,,,October 2012,"Pryv.io middleware is a development software tool which allows for personal data collection, structuring, aggregation, processing, sharing and storage (from any data source: biometric, IoT, sensors, geolocation, weather forecasts, etc.) for: Urban development, mobility, driver’s behaviour, traffic management?Smart utility consumption, Smart hospital and healthcare services, Citizen behaviour analysis?.  Based on a privacy-by-design, user-centric approach, Pryv’s technology allows development teams to build and manage smart digital data infrastructures and applications, delivering data transparency and auditability, multi-level data sharing and processing, with full compliance to multi-layer data protection regulations.",https://www.pryv.com,https://www.top100startups.swiss/Pryv
298,Bcomp AG,Cleantech,Cleantech,Materials,Renewable energy,,,,,,,,,,,,,,,,,,February 2011,"Bcomp is a Swiss cleantech company that has established itself as a global leader in high-performance, lightweight renewable reinforcements.Thanks to its first-class engineering team, Bcomp has the capacity to guide customers through the entire process from prototype to final part. This significant engineering power enables reverse engineering of existing carbon fibre parts and out-standing customer support. As a result, today Bcomp has ongoing development projects with global automotive OEMs, within the aerospace sector as well as within the marine industry. Thanks to Bcomp’s proprietary lightweighting technologies, being more sustainable does not have to compromise performance.",http://www.bcomp.ch/,https://www.top100startups.swiss/Bcomp
299,Knip AG ,Fintech,Consumer,Finance,Fintech,Internet,Services for consumers,,,,,,,,,,,,,,,,September 2013,"Dennis Just and Christina Kehl founded Knip AG in September 2013. Ever since, we have been growing in leaps and bounds, and now have over 110 employees based in Zurich (Switzerland), Berlin (Germany) and Belgrade (Serbia). As a startup, we are funded by venture capitalists from the U.S., Switzerland, Germany, and the Netherlands. Our company is registered with IHK, the German Chamber of Industry & Commerce, and certified by TÜV, the German Technical Inspection Agency.  The Knip app is an innovative mobile insurance manager that makes it easy for you to track all your insurance policies, premiums, and benefits. Our insurance experts are there to advise users on all facets of their policies. You can electronically adjust premiums, execute new policies, or cancel old ones. Our insurance experts strive for transparency and unbiased advice.",http://www.knip.ch,https://www.top100startups.swiss/Knip
300,Sophia Genetics SA,Biotech,Bioinformatics,Biotech,Cancer,Diagnostics,Healthcare infrastructure,Software,Screening,,,,,,,,,,,,,,March 2011,"As the global leader in Data-Driven Medicine, SOPHiA GENETICS helps healthcare professionals better diagnose and treat cancers and hereditary disorders thanks to complex genomics and radiomics analysis powered by SOPHiA AI. The company achieves its mission of contributing to a more sustainable global healthcare system by providing equal benefits to all users, uniting experts in a gold standard health tech platform, and motiving expert knowledge sharing to enter a new era in healthcare, where the data used to help a patient today will benefit those of tomorrow.  Adopted by more than 995 hospitals in 82 countries, SOPHiA has already supported the diagnosis of more than 400,000 patients worldwide.",http://www.sophiagenetics.com,https://www.top100startups.swiss/Sophia
301,MOVU AG ,ICT,Consumer,Ecommerce,Internet,Services for consumers,,,,,,,,,,,,,,,,,May 2014,"MOVU is the biggest and leading platform for moving and cleaning services in Switzerland. Based on a questionnaire, an inventory list or a video of their home, customers are getting five offers from local cleaning or moving companies. They can then compare the fix prices, check the ratings from other users, see the detailed company profiles and book directly online. The whole process is supported by a personal assistant, the ""Move Captain"".Furthermore, MOVU offers a variety of additional services associated with relocation:- A simple way to switch your internet connection to the new location- Checklists concerning everything around a relocation- Free insurance checks- Coupons for furniture- Moving boxes - Rental cars - and many more...MOVU covers every angle of the moving even",https://www.movu.ch/,https://www.top100startups.swiss/MOVU
302,PIQUR Therapeutics AG,Biotech,Cancer,Drug development platforms,Drug discovery,Inflammation,Small molecule drugs,,,,,,,,,,,,,,,,August 2011,"PIQUR is a Swiss clinical-stage pharmaceutical company incorporated in August 2011 as a spin-off of the University of Basel, focusing on the discovery and development of innovative anti-cancer drugs based on lipid kinase (PI3K) and mTOR inhibition. PIQUR’s pipeline originates from one of the most promising research areas in oncology. Both PI3K and mTOR are clinically validated drug targets in oncology.  PIQUR’s lead compound, PQR309, is a novel, balanced pan-class 1 PI3K/mTOR inhibitor formulated for oral administration. Preclinical studies demonstrated that PQR309 is a highly selective kinase inhibitor, penetrating blood-brain barrier with potent in vitro as well as in vivo antitumor activity.  A first-in-man clinical Phase 1 study was successfully completed and the maximum tolerated dose has been determined and has shown promising activity. PQR309 is currently engaged in multiple Phase 1 and Phase 2 studies as a single agent and as combination therapy.",http://www.piqur.com,https://www.top100startups.swiss/PIQUR
303,ecoRobotix SA,Engineering,AgriTech,Cleantech,Hightech,IoT,Solar,Machine Learning / AI,Robotics,,,,,,,,,,,,,,January 2014,"Ecorobotix collects and analyses plant level data using cameras and AI/ML and applies precision spraying of crop protection chemicals (pesticide and fertilizers) - reducing chemical use by 95%, massively reducing CO2 footprint, improving biodiversity and crop yields by up to 5%. Ecorobotix technology will significantly disrupt the agricultural spraying market ($6bn/year), crop treatment chemical market ($27bn/year) and fertilizer market ($57bn/year). Applying this technology worldwide has the potential to eliminate up to 0.5% of the world’s entire CO2 emissions.Ecorobotix technology has already been proven in CH and is now rolling out across Europe. The product range includes real-time plant analysis, an ultra-high precision sprayer (licensed per ha) and an autonomous robot prototype.",http://www.ecorobotix.com,https://www.top100startups.swiss/ecoRobotix
304,SWISSto12 SA,Engineering,Electronics,,,,,,,,,,,,,,,,,,,,August 2011,SWISSto12 commercialises unique and disruptive antenna systems that break the $/byte challenge of the telecoms industry.,http://www.swissto12.ch,https://www.top100startups.swiss/SWISSto12
305,FEMTOprint SA,Medtech,3D Printing,Biotech,Hightech,Mechanics,Micro technologies,Nano technologies,Optics,Medical devices,Medtech,Semiconductors,,,,,,,,,,,December 2013,"FEMTOprint is a Swiss high-tech company manufacturing 3D printed micro-devices out of glass and other transparent materials. It equally develops and assembles its own 3D printing platforms for rapid prototyping and serial production. Through the innovative FEMTOPRINT® technology and the highly-qualified expertise in micromachining, FEMTOprint is changing the way industrial, highly complex micro-systems are conceived.",http://www.femtoprint.ch,https://www.top100startups.swiss/FEMTOprint
306,Fastree3D SA,Engineering,Automotive,Electronics,Hardware,Sensors,Semiconductors,,,,,,,,,,,,,,,,July 2013,"Fastree3D is a fabless semiconductor company developing fast 3-dimensional imaging for automotive safety, autonomous vehicles, and robotics. Our miniature Flash LiDAR on a chip measures the distance and calculates the motion of surrounding objects. We differentiate from other sensors with high speed and resolution.  Resulting from several years of R&D with EPFL, our prototype demonstrated the world's first single-chip 2D and 3D Flash LiDAR, allowing to detect bicycles and pedestrians efficiently in city traffic. Our business model is to sell  components in the established automotive and robotics value chain. This has attracted interest and initial contracts from leading automotive companies such as Audi-VW, Bosch, NXP, Qualcomm-Veoneer and machine vision suppliers like ifm Efector and Sick",http://www.fastree3d.com/,https://www.top100startups.swiss/Fastree3D
307,DomoHealth,ICT,Bioinformatics,Big Data,Cloud,Digital Health,Diagnostics,Healthcare infrastructure,IoT,Machine Learning / AI,Real estate and construction,SaaS,Services for companies,Services for consumers,Software,Patient monitoring,,,,,,,July 2012,"DomoHealth provides a SaaS clinical platform to improve care efficiency across the care pathway by monitoring patients’ health conditions at home, based on real world data and machine learning. We help people to live in their own environment surrounded by caring medical services and close family.They can enjoy a good quality of life as long as possible.",http://www.domo.health,https://www.top100startups.swiss/DomoHealth
308,NEEO AG ,Engineering,Electronics,Smart Home,Hardware,IoT,Machine Learning / AI,,,,,,,,,,,,,,,,April 2014,"NEEO, a Solothurn based startup with offices in the United States, developed an intelligent home automation system that allows users to control all electronic devices in their homes with only one simple interface. No more overflow of apps and remotes. The handling is simple, it recognizes the user automatically and it works with the devices today's user already own. No need to buy ""smart devices"" controlled with it. NEEO's exceptional hardware is compatible with all big home control standards such as  Bluetooth, Wi-Fi, Z-Wave and many others. With this remote, users are no longer limited to multimedia, they get access to the entire house technology. NEEOs simple value proposition and very thoughtful storytelling reached already tens of thousands of customers and the young company continues to grow in record speed.",http://www.neeo.com,https://www.top100startups.swiss/NEEO
309,Geosatis SA,Engineering,Electronics,Security,,,,,,,,,,,,,,,,,,,August 2011,Geosatis develops a complete solution for offenders under electronic monitoring. The innovative technology localizes with high security and precision standards the offenders. The products and services decrease the cost of conventional electronic monitoring and also the hidden costs of social reinsertion that could be extremely high.,https://geo-satis.com/de/,https://www.top100startups.swiss/Geosatis
310,Gondola Medical Technologies SA,Medtech,Medical devices,Medtech,Neurology,Rehab,,,,,,,,,,,,,,,,,June 2011,"Gondola Medical Technologies is a Swiss MedTech company offering Gondola AMPS, a clinically-proven, side-effect free and non-invasive therapy to improve walking, empowering patients to move better and live better. It has developed the GONDOLA® medical device, a proprietary device to give the AMPS treatment (Automated Mechanical Peripheral Stimulation) for walking and balance impairments due to neurological disorders.",https://www.gondola-medical.com/,https://www.top100startups.swiss/Gondola
311,Medyria AG,Medtech,Cardiovascular,,,,,,,,,,,,,,,,,,,,January 2012,"Medyria's mission is to reduce the risk during the surgical procedures, developing systems that allow the surgeon to have a better control on the surgical field. This will be realized introducing advanced and intuitive methods for the visualization and control of surgical instruments. As consequence we will contribute to make any surgical procedure more effective, fast and safe.",http://www.medyria.com,https://www.top100startups.swiss/Medyria
312,ActLight SA,Engineering,Energy efficiency,Consumer,Electronics,Diagnostics,Renewable energy,"Smart Power, Green Grid",Mobile,Semiconductors,Patient monitoring,,,,,,,,,,,,October 2011,"ActLight SA focuses in the field of CMOS photonics by developing new type of photodetectors and improving photovoltaic energy harvesting technology. Being a fabless company, ActLight specializes in the Intellectual Property (IP) of these areas and provides supporting services like design and technology advice for its customers.",https://act-light.com/,https://www.top100startups.swiss/ActLight
313,UrbanFarmers AG,Cleantech,AgriTech,Cleantech,Consumer,Food,,,,,,,,,,,,,,,,,July 2011,"UrbanFarmers Ltd. is a Switzerland-based technology company building commercial food production units in cities. The company develops and operates farms with its proprietary software system allowing commercial decentralized farming at low cost. Established in 2011 as a technology spin-off from the University of Applied Sciences (ZHAW) in Zurich, UrbanFarmers is attracting global attention with its vision to build rooftop farms. With UF001 LokDepot, a pilot commercial rooftop farm located in Basel, Switzerland, UF is selling fresh fish and vegetables directly into leading local restaurants. Deliveries to Migros, Switzerland’s largest food retailer have proven the outstanding quality of the produce. In May 2016, UrbanFarmers celebrated the Grand Opening of UF002 De Schilde, Europe’s largest rooftop farm in The Hague, NL. The current project pipelines includes projects in the Benelux, Germany as well as a host of other cities worldwide.  UF001 LokDepot: https://urbanfarmers.com/projects/basel/ Pilot rooftop farm operating since 2013 in Basel, CH1 t/a Tilapia (fish), 3 t/a Tomato and salads UF002 De Schilde: https://urbanfarmers.com/projects/the-hague/ 19 t/a Tilapia (fish), 50 t/a Tomato and saladsLink yourself to the farm at https://www.facebook.com/UFDeSchilde  Urban Rooftop Aquaponic Farms, product brochure: https://urbanfarmers.com/productsservices/farm/  BOLT-ON Aquaculture Systems, product brochure: https://urbanfarmers.com/productsservices/uf-bolt-on-systems/",http://www.urbanfarmers.com,https://www.top100startups.swiss/UrbanFarmers
314,Prodibi SA,ICT,Applications,Big Data,Cloud,Consumer,Enterprise,Internet,Media,SaaS,Software,,,,,,,,,,,,April 2011,"Prodibi is a unique photography infrastructure as a service. It is simple, the way we display images online doesn’t make any sense anymore. We are photographers ourselves, and we were frustrated to degrade our photos to show them online. We decided to rebuild the image workflow and the online visual experience entirely.  We solve all significant issues of displaying images online without slowing down websites, from the quality and size of photos to their formatting, compression, responsiveness, cropping, pixel density, color management, and security. The web platform we built on our iaas targets mainly photographers, but we also help enterprises, and agencies with their image need thanks to our APIs and plugins. In details:- You can upload your images in full quality and full size directly (up to 3 gigapixels), we take the maximum resolution and preserve it (jpeg, raw, psd, tiff).- You can easily embed your full-resolution photos to your website without slowing down your pages (like a Youtube video).- Zoom to the 100% size of your images without losing in quality.- Allow the download of you full-resolution images with custom settings and expiration dates.- Enable extra security for the pictures that matter the most. The security you wonder?  While it is impossible to guarantee 100% safety, Prodibi images are more secure than standard pictures by nature since only the parts and resolution needed are streamed to the viewers. The original image is never sent to the device of the viewer unless the download capacity is enabled. On top, right-click on the pictures is disabled, and all new albums are by default privates.To strengthen even more the security you can enable URL encryption, image encryption, watermarking, and stealth mode. The encryption and watermarking of photos can always be on or only when zoomed in at 100% to ensure the best compromise between quality, performance, and security. You can check our web service here; it is free: www.prodibi.com We also have a blog, a newsletter, and a Facebook group in which we share a weekly dose of stunning photos, please visit: mag.prodibi.com and www.facebook.com/groups/111916462828206 You can also find us on Facebook, Twitter, and Instagram @Prodibi",http://prodibi.com,https://www.top100startups.swiss/Prodibi
315,CALCISCON AG,Biotech,Cardiovascular,Diagnostics,Drug development platforms,Drug discovery,Medtech,,,,,,,,,,,,,,,,August 2013,"Invented a unique calcification blood test, secured IP, developed and CE-marked scalable test kit, conducted clinical studies, now ready to go to market; estimated longer-term global market volume is 200 to 600 mCHF annually;Additional potential for further calcification IVD tests plus devices and therapeutics goes into the billions. Already started working on these developments/products.Want to become a leading company in calcification medicine.",http://www.calciscon.com,https://www.top100startups.swiss/CALCISCON
316,ZuriMED Technologies AG,Medtech,Medtech,,,,,,,,,,,,,,,,,,,,September 2015,"ZuriMED Technologies AG is an innovation-driven Swiss company based in Zurich that spun off in 2015 from the Laboratory for Orthopaedic Biomechanics (Department of Health Science and Technology at ETH Zurich and the Department of Orthopaedics at the University of Zurich). As an innovation engine with a dynamic management team and a Board of Directors of world-leading scientists and clinicians, ZuriMEDs strength is to think outside the box and develop disruptive technologies that address unmet clinical needs.",http://www.zurimed.com,https://www.top100startups.swiss/ZuriMED
317,Faveeo,ICT,Advertising,Machine Learning / AI,Media,Social networks,,,,,,,,,,,,,,,,,July 2012,"The online advertizing industry is struggling to keep the attention and the trust of online users that are more and more becoming ad-blind. That is where Faveeo comes in : it's trust-first content discovery and distribution engine enables brands to innovate in their digital communications in a scalable and highly qualitative way. Our customers are brands, large and small looking to differenciate themselves on the web and social media by providing real value on their social media channels, highlighting relevant, useful content as opposed to the ""same old"" marketing speech.  Our clients include P&G, Cisco, ICRC, EY the UN and much more other large organisations and startups alike.We have 2 main models : one license-based where clients buy our software and use it in their content project : used by cisco, P&G and others. The other model is a fully managed where clients will sponsor our existing sites, and where Faveeo is responsible for the maintenance and promotion of the sites, while the client only will sponsor it to get access to the leads, and the insights from traffic behavior. This is used by the likes of EY.Digital Marketing and more specifically Content Marketing are high growth industries, growing on average 12% YoY (according to gartner and forrester) and represent a 30+ billion USD industry for content marketing only (100+bio for the whole digital marketing industry). Nevertheless t",http://www.faveeo.com,https://www.top100startups.swiss/Faveeo
318,N-Dream AG (AirConsole),ICT,Advertising,Cloud,Consumer,Gaming,Internet,Media,Mobile,,,,,,,,,,,,,,October 2013,"“We enable friends to play games together anytime, anywhere.” AirConsole is a cloud based video game console. No proprietary hardware is required:=> Your smartphones are the controllers=> Your web-browser is the console We provide instant access to a full game console experience to anyone. All you need is a web-browser and smartphones. We are the #1 place for party and local multiplayer games. The AirConsole team created a revolutionary product which is incredibly easy to setup and tons of fun to use. Users can enjoy a library of free multiplayer games including karaoke, racing games, quizzes, classic arcade games and many more.",http://www.airconsole.com,https://www.top100startups.swiss/N-Dream
319,CashSentinel SA,Fintech,Ecommerce,Fintech,Internet,Marketplace,Services for companies,,,,,,,,,,,,,,,,December 2012,"CashSentinel is a payment service provider for marketplaces (online or physical). We offer a platform in the form of a front-end and/or APIs to companies who wish to sell goods or services provided by 3rd-parties. Examples of marketplaces are online stores, vehicle ads websites, food delivery platforms, Street Food Festivals, Events ... Sample Swiss marketplace clients: Manor, Car For You, Mica's Garten, Zur Rose Shop, Sample Swiss payment industry clients: Worldline - SIX Payment Services, Datatrans We serve a fast-growing billion-dollar industry, with a focus on Switzerland and Europe. We process hundreds of millions of CHF for our clients every year.",http://www.cashsentinel.com,https://www.top100startups.swiss/CashSentinel
320,strong.codes SA (acquired by Snap Inc.),ICT,Enterprise,Mobile,Research and development,Services for companies,Security,Software,,,,,,,,,,,,,,,January 2016,"strong.codes has developed a product that integrates innovative software protection methods, such as obfuscation, in one the most powerful compilation frameworks of the moment (LLVM). The goal is to make software piracy much more expensive and complicated.",http://www.strong-codes.ch,https://www.top100startups.swiss/strongcodes
321,noonee AG,Medtech,Automotive,Consulting services,Materials,Interdisciplinary,Mechanics,Hardware,Robotics,Research and development,Services for companies,Wearable technologies,Rehab,,,,,,,,,,October 2014,"noonee AG is bringing you the Chairolution®. Using a low-cost approach, noonee® offers a lightweight and energy efficient technology you can wear around your legs, giving you the convenience to sit when you want as well as walk. It is a support that walks with you. No longer will you have to wish you brought a chair or will chairs get in your way. We introduce a new way of sitting as well as posture support!",https://www.noonee.com/en/,https://www.top100startups.swiss/nooneeAG
322,Sherpany AG,ICT,Enterprise,Mobile,Wireless,Security,Social networks,Tackle COVID-19,Software,,,,,,,,,,,,,,October 2011,"Sherpany was founded in 2011 with a vision to create a world where every meeting counts. Today, the Swiss company is the European market leader for meeting management software and helps over 7000 business leaders increase the productivity of their meetings. The privately owned and award-winning company employs over 100 people in six offices across Europe. Learn more about Sherpany's innovative approach to meeting management here: www.sherpany.com",http://www.sherpany.com,https://www.top100startups.swiss/Sherpany
323,Younergy Solar SA,Cleantech,Cleantech,Energy production,Consumer,Finance,Smart Home,Solar,Services for companies,Services for consumers,,,,,,,,,,,,,August 2015,"Younergy Solar SA (Younergy) is a Swiss start-up providing distributed solar electricity to consumers. Through our MyYounergy platform we’re working to digitize and automate the process of selling, installing and operating a large number of distributed energy production sites in what can be seen as the backbone of the distributed energy utility.  Younergy serves its customers through three complementary product lines: i) Solar Abo, ii) Solar Community; iii) Solar Direct.  The company has three revenue streams: i) energy services; ii) sale of solar and grid electricity; iii) monitoring and analytics technology that can be licensed or monetized through partnerships.",http://younergy.ch/,https://www.top100startups.swiss/Younergy
324,Scope Content AG,ICT,Communications,Cloud,Enterprise,Machine Learning / AI,Marketing services,Media,Social networks,Software,,,,,,,,,,,,,November 2012,"Scope makes software for communication. We help companies to reach their target groups with a minimum of time and resources. We make sure they always have enough content for their website, that their social media channels are always humming, and that sending out newsletters will be the easiest part of the day. The web-based software supports this process in three phases: ""Discover & Curate"", ""Build & Edit"", ""Plan & Publish"". With Scope, our customers publish their ""newsfeeds"" in any number of channels, simultaneously or time-independently. The software integrates itself into existing software environments. For example, it is possible to publish daily news on your own website as well as social media and send a best-of newsletter at the end of the week.",https://thescope.com,https://www.top100startups.swiss/scope
325,ParkU AG,ICT,Consumer,Mobile,,,,,,,,,,,,,,,,,,,October 2012,"Mit ParkU finden Autofahrer jederzeit europaweit ihren idealen Parkplatz. Die einzigartige All in One-Parkplatz-App erleichtert die Parkplatzsuche durch verlässliche Echtzeit-Informationen und befähigt Autofahrer, mit nur einer App bargeldlos gebührenpflichtige Stellplätze im öffentlichen Straßenraum (Handyparken), in Parkhäusern und auf privatem Gelände zu bezahlen. Autofahrer können zudem über die App, via Web und vom Auto-Cockpit aus schon vor der Ankunft einen garantierten Stellplatz buchen.",https://parku.ch/,https://www.top100startups.swiss/ParkUAG
326,eSMART Technologies SA,Proptech,Energy efficiency,Electronics,Smart Home,"Smart Power, Green Grid",IoT,Real estate and construction,,,,,,,,,,,,,,,December 2011,"eSMART develops intelligent systems for building automation. Through a touch screen in the living room or the smartphone app, building functions such as the video intercom, heating, lighting or blinds can be controlled centrally. The screen also displays the consumption of electricity, heating and water in real-time, informing in this manner occupants about their energy consumption. The digital solution of eSMART also reduces building management costs by giving the building manager access to consumption data and allowing him to communicate with occupants about neighbourhood activities and information. Today more than 3'000 apartments are equipped in Switzerland with the solution, bringing eSMART the national leader in term of connected and sustainable apartments.",http://www.myesmart.com/de/,https://www.top100startups.swiss/eSMART
327,AKENES SA (Exoscale),ICT,Cloud,Enterprise,SaaS,,,,,,,,,,,,,,,,,,October 2011,"Exoscale was established in 2011, with the promise to bring simple, scalable, yet affordable cloud infrastructure services from safe locations. In one of the last countries allowing un-tamperable data storage, our expert team - battle hardened from experience in highly critical environments and industries - will ensure your data and services are safe from technical or legal harm.",http://www.exoscale.ch,https://www.top100startups.swiss/Exoscale
328,Kandou Bus SA,Engineering,Energy efficiency,Big Data,Cloud,Electronics,Hightech,Gaming,"Smart Power, Green Grid",IoT,Machine Learning / AI,Mobile,Semiconductors,Wireless,,,,,,,,,January 2011,"Kandou is a fabless semiconductor company. Spun out of EPFL in 2011, Kandou designs high speed, energy efficient serial links connecting Integrated Circuit components such as processor and memory, or processor and processor. Kandou’s designs are in production with various customers in the networking and defense fields. Kandou’s first standalone chip product, called Matterhorn, is the world’s leading re-timer chip for USB4 links. Kandou’s customers include the who’s who of the electronics industry. The company is active in three continents, has 120 employees, and has so far raised 100 million US dollars for its operations. With a portfolio of 350+ patents, world class design, and management teams, and a solid customer base, Kandou is ready to take on the world of electronics.",https://www.kandou.com/,https://www.top100startups.swiss/Kandou
329,CellSpring AG,Biotech,Antibodies,Biomaterials,Biotech,Cancer,Diagnostics,Organ and Tissues,Patient monitoring,Urology,,,,,,,,,,,,,September 2015,"An alarming 39% of women and men develop cancer at some point in their lives, and the number one factor determining survival is the timing of the diagnosis.  Catching cancer early, when it is most curable, means testing at-risk patients before they even have symptoms. CellSpring develops blood tests that can be used to screen at-risk patients and provide them with a cancer diagnosis at the absolute earliest stage, with unrivaled specificity and sensitivity. Our patented technology allows us to exclusively identify novel biomarkers that are secreted into the blood by cancer cells. In collaboration with clinical partners who provide patient blood samples, we validate those biomarkers for their ability to diagnose and stage cancer.",http://www.cellspring.co,https://www.top100startups.swiss/CellSpring
330,Karmagenes SA,Biotech,Consumer products,Big Data,Consulting services,Biotech,Consumer,Education,Finance,Ecommerce,Gaming,Internet,Services for consumers,,,,,,,,,,February 2015,"Karmagenes integrates genetics with psychology for personal development. Karmagenes genetic test involves examining specific regions of DeoxyriboNucleic Acid (DNA) linked with behavioral characteristics. Karmagenes provides an innovative approach of how people can better know themselves and connect with others in an avant-gardist way. Karmagenes goal is to make the general public understand that DNA, genetic tests and science in general, can also be used in a modern, comprehensible, positive and scientific way. By no means Karmagenes genetic testing results should be seen as a final and definite description of your behavioral characteristics. It should be stressed that the results are based on what your DNA is telling regarding these specific behavioral characteristics based on current scientific studies. However, characteristics are also influenced by the environmental factors in your life. While your genetic background will always remain the same and underlies your personality traits, the environmental factors such as your family, your school, your cultural background, your friends and colleagues, your professional experiences, will also contribute to the definition of your behavioral characteristics, your personality and who you are today.  We have translated the above technology as an online gamification strategy http://app.karmagenes.co/register/ where an individual can build his real personality profile through interactive processes based purely on psychology and scientific evidence.",http://karmagenes.co/,https://www.top100startups.swiss/Karmagenes
331,PB&B SA,Medtech,Biomaterials,Biotech,Medical devices,Medtech,Surgery,,,,,,,,,,,,,,,,December 2013,"•	PB&B’s novel injectable technology allows plastic surgeons and dermatologists to enhance fat tissue volume with lipids to naturally remodel facial and body areas.•	Patent granted to date in 13 countries (USA, China,…) with all claims and applications. Full FTO (Freedom-to-Operate).•	Developed by an international team of plastic surgeons and bioengineers. Technology entering clinical testing phase towards an approval in Europe, US, and China in 2025.•	PB&B has won numerous innovation and startup awards, including the IMCAS Innovation of the Year award 2018 (largest global medical aesthetics congress – Paris, France).•	3 Innovation government grants (CH, EU, CN) approved based on innovation & market potential.•	PB&B Funding to date: 7 MUSD",http://www.pbbtech.ch,https://www.top100startups.swiss/PB_B
